Date,GOLD
2020-03-05,1680.4
2020-03-04,1656.5
2020-03-03,1658.8
2020-03-02,1609.7
2020-02-28,1583.6
2020-02-27,1661.4
2020-02-26,1662.9
2020-02-25,1670.2
2020-02-24,1697.1
2020-02-21,1669.1
2020-02-20,1640.8
2020-02-19,1632.2
2020-02-18,1624.0
2020-02-17,1587.05
2020-02-16,1586.25
2020-02-14,1606.9
2020-02-13,1599.6
2020-02-12,1592.4
2020-02-11,1591.1
2020-02-10,1600.7
2020-02-07,1595.0
2020-02-06,1591.7
2020-02-05,1584.7
2020-02-04,1577.5
2020-02-03,1604.0
2020-01-31,1609.4
2020-01-30,1610.7
2020-01-29,1597.9
2020-01-28,1596.9
2020-01-27,1604.6
2020-01-24,1599.0
2020-01-23,1592.1
2020-01-22,1583.5
2020-01-21,1584.7
2020-01-20,1561.25
2020-01-19,1557.05
2020-01-17,1587.2
2020-01-16,1576.9
2020-01-15,1580.3
2020-01-14,1571.2
2020-01-13,1577.5
2020-01-10,1587.0
2020-01-09,1581.4
2020-01-08,1587.0
2020-01-07,1601.3
2020-01-06,1596.1
2020-01-03,1579.6
2020-01-02,1555.2
2020-01-01,1520.95
2019-12-31,1550.6
2019-12-30,1545.4
2019-12-27,1544.4
2019-12-26,1540.3
2019-12-25,1504.05
2019-12-24,1530.5
2019-12-23,1514.4
2019-12-20,1506.4
2019-12-19,1510.0
2019-12-18,1504.3
2019-12-17,1506.8
2019-12-16,1506.7
2019-12-13,1506.9
2019-12-12,1497.5
2019-12-11,1500.1
2019-12-10,1493.2
2019-12-09,1489.8
2019-12-06,1489.9
2019-12-05,1507.5
2019-12-04,1504.5
2019-12-03,1508.6
2019-12-02,1493.1
2019-11-29,1496.6
2019-11-28,1462.25
2019-11-27,1484.4
2019-11-26,1491.0
2019-11-25,1488.1
2019-11-22,1494.4
2019-11-21,1494.0
2019-11-20,1504.5
2019-11-19,1504.8
2019-11-18,1502.4
2019-11-15,1499.1
2019-11-14,1504.0
2019-11-13,1493.9
2019-11-12,1484.2
2019-11-11,1488.0
2019-11-08,1496.3
2019-11-07,1497.7
2019-11-06,1523.9
2019-11-05,1514.5
2019-11-04,1541.6
2019-11-01,1541.3
2019-10-31,1544.0
2019-10-30,1526.5
2019-10-29,1520.6
2019-10-28,1525.8
2019-10-25,1535.1
2019-10-24,1533.9
2019-10-23,1524.9
2019-10-22,1516.6
2019-10-21,1517.3
2019-10-18,1523.0
2019-10-17,1527.8
2019-10-16,1523.4
2019-10-15,1513.1
2019-10-14,1527.1
2019-10-11,1517.8
2019-10-10,1529.7
2019-10-09,1541.1
2019-10-08,1531.9
2019-10-07,1532.5
2019-10-04,1540.7
2019-10-03,1541.3
2019-10-02,1536.8
2019-10-01,1518.0
2019-09-30,1502.3
2019-09-27,1536.1
2019-09-26,1545.0
2019-09-25,1542.0
2019-09-24,1570.1
2019-09-23,1561.6
2019-09-20,1545.3
2019-09-19,1536.4
2019-09-18,1546.1
2019-09-17,1544.1
2019-09-16,1542.3
2019-09-13,1530.7
2019-09-12,1537.8
2019-09-11,1532.4
2019-09-10,1528.1
2019-09-09,1539.6
2019-09-06,1543.3
2019-09-05,1552.9
2019-09-04,1587.4
2019-09-03,1583.2
2019-09-02,1535.15
2019-09-01,1538.05
2019-08-30,1557.2
2019-08-29,1564.0
2019-08-28,1575.3
2019-08-27,1578.0
2019-08-26,1563.1
2019-08-23,1563.5
2019-08-22,1534.4
2019-08-21,1541.5
2019-08-20,1541.3
2019-08-19,1537.2
2019-08-16,1549.2
2019-08-15,1556.7
2019-08-14,1554.0
2019-08-13,1540.7
2019-08-12,1543.0
2019-08-09,1534.5
2019-08-08,1535.0
2019-08-07,1544.6
2019-08-06,1509.7
2019-08-05,1502.6
2019-08-02,1485.3
2019-08-01,1461.5
2019-07-31,1466.3
2019-07-30,1470.3
2019-07-29,1461.7
2019-07-26,1460.4
2019-07-25,1454.4
2019-07-24,1462.9
2019-07-23,1460.8
2019-07-22,1466.0
2019-07-19,1465.5
2019-07-18,1467.2
2019-07-17,1462.5
2019-07-16,1450.2
2019-07-15,1452.3
2019-07-12,1450.9
2019-07-11,1445.3
2019-07-10,1450.5
2019-07-09,1438.3
2019-07-08,1437.3
2019-07-05,1436.6
2019-07-04,1423.55
2019-07-03,1456.0
2019-07-02,1442.8
2019-07-01,1423.6
2019-06-28,1446.8
2019-06-27,1444.5
2019-06-26,1447.8
2019-06-25,1451.3
2019-06-24,1450.9
2019-06-21,1432.7
2019-06-20,1429.4
2019-06-19,1384.4
2019-06-18,1387.4
2019-06-17,1379.6
2019-06-14,1381.5
